engine_id,engine_name,source_file,source_section,category,target_customer,problem,offer,price_low,price_high,price_label,recurring_possible,speed_to_cash_days,startup_cost_nzd,human_effort,automation_potential,acquisition,execution_status,revenue,next_action,total_score,band,score_speed_to_cash,score_low_human_effort,score_recurring_revenue,score_gross_margin,score_observable_demand,score_automation_potential,score_scalability,merged_count,needs_client_data,physical_component
ME-0239,Route Planning Preparation,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L6630,operations,mobile service businesses,,Group jobs geographically for human-approved scheduling and route decisions.,299,1500,"$299–$1,500/month",True,1,0,very_low,5/5,,DISCOVERED,0,,95,EXECUTE_NOW,25,20,20,14,6,5,5,1,False,False
ME-0090,Business Intelligence Assistant Subscription,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_1_OF_5.md:L12019,,Small businesses that want a compact external intelligence desk.,,"Recurring intelligence pack combining competitor changes, lead opportunities, review trends, content ideas and 5 recommended actions.",None,None,,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0217,Post-Job Customer Care Engine,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L3044,retention,trades and service businesses,,"Generate care instructions, maintenance tips, review request and referral follow-up after job completion.",149,999,$199–$999 setup or $149–$699/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0269,Regulation Update Summary Service,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L11520,monitoring,niche regulated industries,,Monitor authoritative sources and prepare plain-language summaries for human review.,99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0273,Competitor Hiring Intelligence,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L12172,monitoring,B2B businesses,,Summarise competitor hiring trends and possible operational implications.,99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0274,Competitor Review Velocity Monitor,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L12335,monitoring,local businesses,,Flag sudden changes in competitor review volume/activity.,99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0275,Competitor Reputation Change Alerts,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L12498,monitoring,local businesses,,Flag major shifts in public review themes or sentiment.,99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0276,Competitor Website Positioning Archive,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L12661,monitoring,businesses in active markets,,Maintain summaries of how competitor messaging changes over time.,99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0277,Market Entry Signal Monitor,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L12824,monitoring,local/niche businesses,,Detect publicly visible signals of new competitors entering a category.,99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0278,Business Closure Signal Monitor,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L12987,monitoring,local B2B service providers,,Detect public closure announcements that may create customer opportunities.,99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0327,Website Content Freshness Monitor,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md:L1957,monitoring,local/service businesses,,"Flag outdated staff, dates, services, pricing or policy content.",99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0328,Broken-Link / Stale Page Report Service,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_4_OF_5.md:L2120,monitoring,businesses with websites,,Provide periodic site hygiene reports for broken links and stale pages.,99,999,$99–$999/month,True,1,0,very_low,5/5,,DISCOVERED,0,,93,EXECUTE_NOW,25,20,20,12,6,5,5,1,False,False
ME-0307,Project Partner Matchmaker,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md,HERMES_MEGA_MONEY_ENGINE_PART_3_OF_5.md:L17714,partnerships,B2B service firms,,Match public opportunities with complementary businesses that could collaborate.,199,999,$199–$999/project or $199–$599/month,True,1,0,low,4/5,,DISCOVERED,0,,88,EXECUTE_NOW,25,16,20,12,6,4,5,1,False,False
