file,line,old_name,new_name,exact_reference,classification,safe_to_change,compatibility_needed,action_taken,rollback
database/schema.sql,1,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),-- MoneyMachine Database Schema,legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
database/schema.sql.backup,1,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),-- MoneyMachine Database Schema,legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
database/schema_original.sql,1,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),-- MoneyMachine Database Schema,legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
extract/apply_research.py,6,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),"ROOT = Path(""/Users/defaultaccount/HERMES_MONEY_ENGINE"")",legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
extract/build_cartridges.py,7,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),"OUT = Path(""/Users/defaultaccount/HERMES_MONEY_ENGINE"")",legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
extract/build_deliverables.py,7,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),"OUT = Path(""/Users/defaultaccount/HERMES_MONEY_ENGINE"")",legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
extract/daily_report.py,6,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),"OUT = Path(""/Users/defaultaccount/HERMES_MONEY_ENGINE"")",legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
extract/dedupe_score.py,11,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),"OUT = Path(""/Users/defaultaccount/HERMES_MONEY_ENGINE"")",legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
extract/extract_engines.py,10,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),"SRC = Path(""/Users/defaultaccount/Downloads/HERMES_MEGA_MONEY_ENGINE_SPLIT_5_FILES"")",legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
extract/extract_engines.py,11,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),"OUT = Path(""/Users/defaultaccount/HERMES_MONEY_ENGINE"")",legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
money-machine/BATCH_001_CONSOLIDATOR.py,5,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),"reports = ""/Users/yabigdd/MoneyMachine/reports""",legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
money-machine/CODEX_VERIFICATION_BUNDLE_2026-09-08/ACCEPTANCE_TEST_RESULTS.md,3,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),**Suite:** MoneyMachine Safety + Integrity Tests,legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
money-machine/CODEX_VERIFICATION_BUNDLE_2026-09-08/CHECKSUMS_SHA256.txt,4,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),0781c431674ad6ffc6a62b990ef0c1efa3d36a936f09018366e865394ad8536d  /Users/yabigdd/MoneyMachine/database/money_machine.db,legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
money-machine/CODEX_VERIFICATION_BUNDLE_2026-09-08/CHECKSUMS_SHA256.txt,5,MoneyMachine/legacy paths,WEBSITES/BUISNESSaudits (display only),03777791599c15243f1ccb7fc30919790ac3f297fb1e7c521f48eb3602e87b43  /Users/yabigdd/MoneyMachine/reports/CURRENT_STATE.md,legacy-reference-review-required,case-by-case,True,Preserved history/legacy reference; use canonical README and root mm,No change; original Git HEAD retained
